VEH_BODY_STYL_ID,PRSN_ETHNICITY_ID,count
AMBULANCE,WHITE,97
BUS,HISPANIC,391
FARM EQUIPMENT,WHITE,63
FIRE TRUCK,WHITE,112
MOTORCYCLE,WHITE,848
NA,WHITE,5693
NEV-NEIGHBORHOOD ELECTRIC VEHICLE,WHITE,10
NOT REPORTED,HISPANIC,2
NOT REPORTED,WHITE,2
OTHER  (EXPLAIN IN NARRATIVE),WHITE,459
"PASSENGER CAR, 2-DOOR",WHITE,9877
"PASSENGER CAR, 4-DOOR",WHITE,58312
PICKUP,WHITE,38609
POLICE CAR/TRUCK,WHITE,366
POLICE MOTORCYCLE,HISPANIC,3
SPORT UTILITY VEHICLE,WHITE,33902
TRUCK,WHITE,4204
TRUCK TRACTOR,WHITE,5815
UNKNOWN,WHITE,1178
VAN,WHITE,5291
YELLOW SCHOOL BUS,WHITE,264
